start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-15,2025-04-15,,طرطوس,فريق جوال,القدموس,السميحيقة,السميحيقة,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,ملك,6,5,2,3,نعم,,,,464032750,2025-04-15,,submitted_via_web,1
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,تالين,تالين,جليتي,نعم,نازح داخلي,2025-03-01,,أستضافة,5,4,4,0,نعم,,,,464138363,2025-04-16,,submitted_via_web,2
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,حي القوز,لا,نازح داخلي,2025-03-01,,أستضافة,5,6,4,2,نعم,,,,464144700,2025-04-16,,submitted_via_web,3
2025-04-15,2025-04-15,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,5,5,3,1,نعم,,,,464153384,2025-04-16,,submitted_via_web,4
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,5,3,1,2,نعم,,,,464155598,2025-04-16,,submitted_via_web,5
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,6,6,4,2,نعم,,,,464155755,2025-04-16,,submitted_via_web,6
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,4,4,3,1,نعم,,,,464155852,2025-04-16,,submitted_via_web,7
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,6,6,5,1,نعم,,,,464157426,2025-04-16,,submitted_via_web,8
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,5,7,6,1,نعم,,,,464157993,2025-04-16,,submitted_via_web,9
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-07-01,,ملك,2,2,2,0,نعم,,,,464158158,2025-04-16,,submitted_via_web,10
