البرنامج (التصنيف الأول),تصنيف الاحتياج (التصنيف الثاني),نوع حليب الاطفال,قياس حفاضات الاطفال,قياس حفاضات عجزة,الكمية,هل حصلت العائلة (أو الفرد) على الخدمة,تاريخ الحصول على الخدمة,هل حصلت العائلة (أو الفرد) على الخدمة.1,تاريخ الحصول على الخدمة.1,_index,_parent_table_name,_parent_index,_submission__id,_submission__submission_time,_submission__validation_status,_submission__status
احتياجات غير غذائية أو نظافة,بطانيات,,,,3,لا,,,,1,FamilyMembers,1,464032750,2025-04-15,,submitted_via_web
احتياجات مأوى أو صرف صحي,تأهيل منزل,,,,1,لا,,,,2,FamilyMembers,2,464138363,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,الحاجة ل حقيبة أو عدة عمل,,,,1,لا,,,,3,FamilyMembers,2,464138363,2025-04-16,,submitted_via_web
احتياجات مأوى أو صرف صحي,تأهيل منزل,,,,1,لا,,,,4,FamilyMembers,3,464144700,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,5,FamilyMembers,4,464153384,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,3,لا,,,,6,FamilyMembers,5,464155598,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,3,لا,,,,7,FamilyMembers,5,464155598,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,8,FamilyMembers,6,464155755,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,4,لا,,,,9,FamilyMembers,7,464155852,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,4,لا,,,,10,FamilyMembers,10,464155852,2025-04-16,,submitted_via_web
احتياجات طبية أو صحية,احتياج دواء,,,,1,لا,,,,11,FamilyMembers,11,464157426,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,12,FamilyMembers,12,464157993,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,5,لا,,,,13,FamilyMembers,13,464158158,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,7000000,لا,,,,14,FamilyMembers,14,464160129,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,15,FamilyMembers,15,464160676,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,2,لا,,,,16,FamilyMembers,16,464161607,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,5,لا,,,,17,FamilyMembers,17,464162018,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,5,لا,,,,18,FamilyMembers,18,464162018,2025-04-16,,submitted_via_web
